"","simnum","dHat","nHat","pHat","pHatZeroNeg","pHatDropNeg","aHat","square","TrapSpacing","FielSize","CatchRadius","NumVisits","density"
"149",10,2.00274725274725,128.175824175824,0.603253976192064,0.603253976192064,0.603253976192064,64,"4",1,10,0.5,4,1.5
"150",10,2.3047619047619,64.5333333333333,0.435923925182234,0.435923925182234,0.435923925182234,28,"5",1,10,0.5,4,1.5
"151",1,2.5,10,1,1,1,4,"1",1,10,0.5,4,2
"152",1,2.125,34,1,1,1,16,"2",1,10,0.5,4,2
"153",1,2.628125,94.6125,0.716345685534412,0.716345685534412,0.716345685534412,36,"3",1,10,0.5,4,2
"154",1,2.77552083333333,177.633333333333,0.578002142445223,0.578002142445223,0.578002142445223,64,"4",1,10,0.5,4,2
"155",1,3.10803571428571,87.025,0.432519693464976,0.432519693464976,0.432519693464976,28,"5",1,10,0.5,4,2
"156",2,2,8,1,1,1,4,"1",1,10,0.5,4,2
"157",2,2.00208333333333,32.0333333333333,0.820394697973225,0.820394697973225,0.820394697973225,16,"2",1,10,0.5,4,2
"158",2,2.42568542568543,87.3246753246753,0.753067600837603,0.753067600837603,0.753067600837603,36,"3",1,10,0.5,4,2
"159",2,2.89646849593496,185.373983739837,0.569383623655394,0.569383623655394,0.569383623655394,64,"4",1,10,0.5,4,2
"160",2,3.69642857142857,103.5,0.422649730810374,0.422649730810374,0.422649730810374,28,"5",1,10,0.5,4,2
"161",3,2.5,10,1,1,1,4,"1",1,10,0.5,4,2
"162",3,2.3125,37,1,1,1,16,"2",1,10,0.5,4,2
"163",3,2.16816816816817,78.054054054054,0.837778578869237,0.837778578869237,0.837778578869237,36,"3",1,10,0.5,4,2
"164",3,2.81139112903226,179.929032258065,0.731939769034738,0.731939769034738,0.731939769034738,64,"4",1,10,0.5,4,2
"165",3,3.65123456790123,102.234567901235,0.668503227934102,0.668503227934102,0.668503227934102,28,"5",1,10,0.5,4,2
"166",4,2,8,1,1,1,4,"1",1,10,0.5,4,2
"167",4,1.69836956521739,27.1739130434783,0.717157287525381,0.717157287525381,0.717157287525381,16,"2",1,10,0.5,4,2
"168",4,2.121632996633,76.3787878787879,0.734627553782862,0.734627553782862,0.734627553782862,36,"3",1,10,0.5,4,2
"169",4,2.77552083333333,177.633333333333,0.578002142445223,0.578002142445223,0.578002142445223,64,"4",1,10,0.5,4,2
"170",4,3.7202380952381,104.166666666667,0.470849737787082,0.470849737787082,0.470849737787082,28,"5",1,10,0.5,4,2
"171",5,1.5,6,1,1,1,4,"1",1,10,0.5,4,2
"172",5,1.88461538461538,30.1538461538462,0.732738758087576,0.732738758087576,0.732738758087576,16,"2",1,10,0.5,4,2
"173",5,2.39469320066335,86.2089552238806,0.655876399194157,0.655876399194157,0.655876399194157,36,"3",1,10,0.5,4,2
"174",5,2.90267175572519,185.770992366412,0.599679615487282,0.599679615487282,0.599679615487282,64,"4",1,10,0.5,4,2
"175",5,3.57142857142857,100,0.552786404500042,0.552786404500042,0.552786404500042,28,"5",1,10,0.5,4,2
"176",6,1.25,5,1,1,1,4,"1",1,10,0.5,4,2
"177",6,1.6875,27,1,1,1,16,"2",1,10,0.5,4,2
"178",6,2.16049382716049,77.7777777777778,0.683772233983162,0.683772233983162,0.683772233983162,36,"3",1,10,0.5,4,2
"179",6,2.66605113636364,170.627272727273,0.556062738699709,0.556062738699709,0.556062738699709,64,"4",1,10,0.5,4,2
"180",6,3.41109422492401,95.5106382978723,0.453641635291847,0.453641635291847,0.453641635291847,28,"5",1,10,0.5,4,2
"181",7,2.5,10,1,1,1,4,"1",1,10,0.5,4,2
"182",7,2.56410256410256,41.025641025641,0.841886116991581,0.841886116991581,0.841886116991581,16,"2",1,10,0.5,4,2
"183",7,2.61627906976744,94.1860465116279,0.789181489322108,0.789181489322108,0.789181489322108,36,"3",1,10,0.5,4,2
"184",7,2.709375,173.4,0.657002829714982,0.657002829714982,0.657002829714982,64,"4",1,10,0.5,4,2
"185",7,2.89285714285714,81,0.528595479208968,0.528595479208968,0.528595479208968,28,"5",1,10,0.5,4,2
"186",8,2,8,1,1,1,4,"1",1,10,0.5,4,2
"187",8,2.3125,37,1,1,1,16,"2",1,10,0.5,4,2
"188",8,2.42229254571027,87.2025316455696,0.780471480020619,0.780471480020619,0.780471480020619,36,"3",1,10,0.5,4,2
"189",8,2.76022518382353,176.654411764706,0.649884811581545,0.649884811581545,0.649884811581545,64,"4",1,10,0.5,4,2
"190",8,3.24812030075188,90.9473684210526,0.543564535412361,0.543564535412361,0.543564535412361,28,"5",1,10,0.5,4,2
"191",9,1.75,7,1,1,1,4,"1",1,10,0.5,4,2
"192",9,1.5625,25,1,1,1,16,"2",1,10,0.5,4,2
"193",9,2.11468253968254,76.1285714285714,0.797278786480154,0.797278786480154,0.797278786480154,36,"3",1,10,0.5,4,2
"194",9,2.73142224409449,174.811023622047,0.615746168904708,0.615746168904708,0.615746168904708,64,"4",1,10,0.5,4,2
"195",9,3.61904761904762,101.333333333333,0.5,0.5,0.5,28,"5",1,10,0.5,4,2
"196",10,1.5,6,1,1,1,4,"1",1,10,0.5,4,2
"197",10,2.00208333333333,32.0333333333333,0.820394697973225,0.820394697973225,0.820394697973225,16,"2",1,10,0.5,4,2
"198",10,2.17687908496732,78.3676470588235,0.738288038704893,0.738288038704893,0.738288038704893,36,"3",1,10,0.5,4,2
"199",10,2.8287213740458,181.038167938931,0.613540882691779,0.613540882691779,0.613540882691779,64,"4",1,10,0.5,4,2
"200",10,3.71938775510204,104.142857142857,0.528595479208968,0.528595479208968,0.528595479208968,28,"5",1,10,0.5,4,2
"201",1,0.5,2,1,1,1,4,"1",1,11,0.5,4,0.5
"202",1,0.375,6,1,1,1,16,"2",1,11,0.5,4,0.5
"203",1,0.5625,20.25,0.666666666666667,0.666666666666667,0.666666666666667,36,"3",1,11,0.5,4,0.5
"204",1,0.73760775862069,47.2068965517241,0.535009445024723,0.535009445024723,0.535009445024723,64,"4",1,11,0.5,4,0.5
"205",1,0.991758241758242,27.7692307692308,0.438048513050984,0.438048513050984,0.438048513050984,28,"5",1,11,0.5,4,0.5
"206",2,0.25,1,1,1,1,4,"1",1,11,0.5,4,0.5
"207",2,0.5625,9,1,1,1,16,"2",1,11,0.5,4,0.5
"208",2,0.727272727272727,26.1818181818182,0.711324865405187,0.711324865405187,0.711324865405187,36,"3",1,11,0.5,4,0.5
"209",2,0.892857142857143,57.1428571428571,0.452277442494834,0.452277442494834,0.452277442494834,64,"4",1,11,0.5,4,0.5
"210",2,1.52380952380952,42.6666666666667,0.209430584957905,0.209430584957905,0.209430584957905,28,"5",1,11,0.5,4,0.5
"211",3,0.25,1,1,1,1,4,"1",1,11,0.5,4,0.5
"212",3,0.510416666666667,8.16666666666667,0.622035526990773,0.622035526990773,0.622035526990773,16,"2",1,11,0.5,4,0.5
"213",3,0.672222222222222,24.2,0.698488655422236,0.698488655422236,0.698488655422236,36,"3",1,11,0.5,4,0.5
