"dHat","nHat","pHat","pHatZeroNeg","pHatDropNeg","aHat","square","TrapSpacing","FieldSize","CatchRadius","NumVisits","density","simnum","paramnum"
50.4,0.7875,0.591751709536137,0.591751709536137,0.591751709536137,64,"4",1,11,0.5,4,0.5,8,5
32.8947368421053,1.17481203007519,0.510102051443364,0.510102051443364,0.510102051443364,28,"5",1,11,0.5,4,0.5,8,5
1,0.25,1,1,1,4,"1",1,11,0.5,4,0.5,9,5
11,0.6875,1,1,1,16,"2",1,11,0.5,4,0.5,9,5
23.2105263157895,0.644736842105263,0.691393300075816,0.691393300075816,0.691393300075816,36,"3",1,11,0.5,4,0.5,9,5
53.2608695652174,0.832201086956522,0.41445995623088,0.41445995623088,0.41445995623088,64,"4",1,11,0.5,4,0.5,9,5
49,1.75,0.154845745271483,0.154845745271483,0.154845745271483,28,"5",1,11,0.5,4,0.5,9,5
3,0.75,1,1,1,4,"1",1,11,0.5,4,0.5,10,5
9,0.5625,1,1,1,16,"2",1,11,0.5,4,0.5,10,5
21.2352941176471,0.589869281045752,0.675557157738475,0.675557157738475,0.675557157738475,36,"3",1,11,0.5,4,0.5,10,5
44.1612903225806,0.690020161290323,0.597306366871585,0.597306366871585,0.597306366871585,64,"4",1,11,0.5,4,0.5,10,5
23.1428571428571,0.826530612244898,0.528595479208968,0.528595479208968,0.528595479208968,28,"5",1,11,0.5,4,0.5,10,5
3,0.75,1,1,1,4,"1",1,11,0.5,4,1,1,6
13,0.8125,1,1,1,16,"2",1,11,0.5,4,1,1,6
43.2432432432432,1.2012012012012,0.726138721247417,0.726138721247417,0.726138721247417,36,"3",1,11,0.5,4,1,1,6
95.5223880597015,1.49253731343284,0.596887112585073,0.596887112585073,0.596887112585073,64,"4",1,11,0.5,4,1,1,6
53.3333333333333,1.9047619047619,0.5,0.5,0.5,28,"5",1,11,0.5,4,1,1,6
5,1.25,1,1,1,4,"1",1,11,0.5,4,1,2,6
16,1,1,1,1,16,"2",1,11,0.5,4,1,2,6
37,1.02777777777778,1,1,1,36,"3",1,11,0.5,4,1,2,6
97.9253731343284,1.53008395522388,0.584260290358451,0.584260290358451,0.584260290358451,64,"4",1,11,0.5,4,1,2,6
64.5333333333333,2.3047619047619,0.435923925182234,0.435923925182234,0.435923925182234,28,"5",1,11,0.5,4,1,2,6
5,1.25,1,1,1,4,"1",1,11,0.5,4,1,3,6
18,1.125,1,1,1,16,"2",1,11,0.5,4,1,3,6
43.4571428571429,1.20714285714286,0.679743692389826,0.679743692389826,0.679743692389826,36,"3",1,11,0.5,4,1,3,6
99.4090909090909,1.55326704545455,0.569668517088065,0.569668517088065,0.569668517088065,64,"4",1,11,0.5,4,1,3,6
56.9032258064516,2.03225806451613,0.488233684280841,0.488233684280841,0.488233684280841,28,"5",1,11,0.5,4,1,3,6
5,1.25,1,1,1,4,"1",1,11,0.5,4,1,4,6
24,1.5,1,1,1,16,"2",1,11,0.5,4,1,4,6
45.0232558139535,1.25064599483204,0.849244327711118,0.849244327711118,0.849244327711118,36,"3",1,11,0.5,4,1,4,6
97.1967213114754,1.5186987704918,0.544157694161448,0.544157694161448,0.544157694161448,64,"4",1,11,0.5,4,1,4,6
60.5,2.16071428571429,0.325800137536758,0.325800137536758,0.325800137536758,28,"5",1,11,0.5,4,1,4,6
2,0.5,1,1,1,4,"1",1,11,0.5,4,1,5,6
9,0.5625,1,1,1,16,"2",1,11,0.5,4,1,5,6
